日期,AQI指数
2015/2/8,105
,
2015/2/9,50
,
2015/2/10,65
,
2015/2/11,91
,
2015/2/12,118
,
2015/2/13,135
,
2015/2/14,96
,
2015/2/15,72
,
2015/2/16,93
,
2015/2/17,111
,
2015/2/18,105
,
2015/2/19,95
,
2015/2/20,41
,
2015/2/21,24
,
2015/2/22,54
,
2015/2/23,67
,
2015/2/24,60
,
2015/2/25,36
,
2015/2/26,26
,
2015/2/27,20
,
2015/2/28,17
,
2015/3/1,33
,
2015/3/2,40
,
2015/3/3,43
,
2015/3/4,69
,
2015/3/5,36
,
2015/3/6,40
,
2015/3/7,51
,
2015/3/8,44
,
2015/3/9,50
,
2015/3/10,70
,
2015/3/11,56
,
2015/3/12,75
,
2015/3/13,83
,
2015/3/14,44
,
2015/3/15,77
,
2015/3/16,70
,
2015/3/17,79
,
2015/3/18,34
,
2015/3/19,25
,
2015/3/20,33
,
2015/3/21,36
,
2015/3/22,50
,
2015/3/23,56
,
2015/3/24,67
,
2015/3/25,58
,
2015/3/26,56
,
2015/3/27,54
,
2015/3/28,76
,
2015/3/29,73
,
2015/3/30,47
,
2015/3/31,68
,
2015/4/1,56
,
2015/4/2,54
,
2015/4/3,37
,
2015/4/4,39
,
2015/4/5,41
,
2015/4/6,26
,
2015/4/7,23
,
2015/4/8,29
,
2015/4/9,41
,
2015/4/10,49
,
2015/4/11,71
,
2015/4/12,78
,
2015/4/13,56
,
2015/4/14,65
,
2015/4/15,90
,
2015/4/16,93
,
2015/4/17,87
,
2015/4/18,70
,
2015/4/19,50
,
2015/4/20,29
,
2015/4/21,51
,
2015/4/22,68
,
2015/4/23,87
,
2015/4/24,74
,
2015/4/25,59
,
2015/4/26,81
,
2015/4/27,88
,
2015/4/28,64
,
2015/4/29,71
,
2015/4/30,76
,
2015/5/1,73
,
2015/5/2,40
,
2015/5/3,61
,
2015/5/4,67
,
2015/5/5,71
,
2015/5/6,64
,
2015/5/7,71
,
2015/5/8,43
,
2015/5/9,64
,
2015/5/10,77
,
2015/5/11,48
,
2015/5/12,73
,
2015/5/13,81
,
2015/5/14,46
,
2015/5/15,42
,
2015/5/16,49
,
2015/5/17,55
,
2015/5/18,67
,
2015/5/19,68
,
2015/5/20,90
,
2015/5/21,89
,
