»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2014-04-10,«·∂»Œ€»æ,117,134,85,134,28,66,0.86,82
2014-04-11,«·∂»Œ€»æ,115,158,87,140,26,71,0.83,60
2014-04-12,¡º,99,133,74,106,10,56,1.04,22
2014-04-13,”≈,48,25,34,32,6,27,0.72,55
2014-04-14,¡º,75,59,47,83,18,32,0.56,112
2014-04-15,¡º,96,114,65,114,45,60,0.67,72
2014-04-16,¡º,84,124,60,97,23,61,0.74,43
2014-04-17,«·∂»Œ€»æ,141,165,107,157,33,71,1.24,27
2014-04-18,«·∂»Œ€»æ,106,150,79,106,32,54,1.16,34
2014-04-19,¡º,58,81,41,54,8,38,0.59,47
2014-04-20,¡º,66,84,47,68,13,40,0.64,48
2014-04-21,¡º,55,45,39,50,20,42,0.59,50
2014-04-22,¡º,59,50,42,58,10,40,0.69,68
2014-04-23,¡º,81,75,56,96,20,57,0.78,51
2014-04-24,¡º,80,88,57,104,38,60,0.79,49
2014-04-25,¡º,55,41,35,58,25,49,0.70,35
2014-04-26,¡º,70,115,49,87,32,62,0.90,13
2014-04-27,”≈,38,16,25,30,7,29,0.94,30
2014-04-28,¡º,62,68,41,67,11,29,0.62,63
2014-04-29,¡º,76,58,50,100,17,45,0.78,70
2014-04-30,«·∂»Œ€»æ,109,136,78,148,31,65,0.85,69
2014-05-01,«·∂»Œ€»æ,104,91,72,140,25,57,0.86,77
2014-05-02,«·∂»Œ€»æ,110,143,58,166,18,44,0.76,74
2014-05-03,¡º,96,138,54,138,20,28,0.66,91
2014-05-04,¡º,77,121,54,98,11,57,0.85,37
2014-05-05,¡º,70,102,41,79,21,38,0.68,74
2014-05-06,¡º,69,69,41,84,40,51,0.61,71
2014-05-07,¡º,73,65,42,92,17,46,0.70,83
2014-05-08,«·∂»Œ€»æ,107,131,73,142,23,47,0.96,108
2014-05-09,«·∂»Œ€»æ,111,155,81,140,42,52,0.86,81
2014-05-10,¡º,64,119,42,71,31,46,0.70,42
2014-05-11,”≈,48,66,28,46,17,41,0.94,27
2014-05-12,¡º,79,111,52,89,21,43,0.98,79
2014-05-13,¡º,90,117,65,119,30,70,1.01,53
2014-05-14,¡º,64,64,43,71,8,52,1.15,47
2014-05-15,«·∂»Œ€»æ,105,159,71,139,18,39,1.02,103
2014-05-16,«·∂»Œ€»æ,125,162,94,186,29,68,1.08,97
2014-05-17,«·∂»Œ€»æ,101,121,75,85,7,46,0.93,57
2014-05-18,¡º,51,35,35,46,6,34,0.60,54
2014-05-19,¡º,99,124,73,117,15,52,0.72,39
2014-05-20,¡º,94,95,67,110,14,43,0.82,79
2014-05-21,«·∂»Œ€»æ,150,159,111,192,29,64,1.08,103
2014-05-22,¡º,81,70,50,79,11,36,0.67,78
2014-05-23,”≈,50,42,20,45,19,31,0.48,73
2014-05-24,¡º,51,61,22,55,18,31,0.57,66
2014-05-25,¡º,70,74,47,79,9,40,0.90,37
2014-05-26,«·∂»Œ€»æ,102,102,60,145,12,47,0.94,72
2014-05-27,«·∂»Œ€»æ,118,110,77,185,14,44,0.87,84
2014-05-28,«·∂»Œ€»æ,140,161,89,227,18,46,0.81,114
2014-05-29,«·∂»Œ€»æ,138,144,98,217,18,58,0.96,81
2014-05-30,¡º,88,76,51,117,13,39,0.69,78
2014-05-31,¡º,51,38,26,50,16,33,0.69,64
2014-06-01,”≈,49,49,26,53,6,42,0.85,30
2014-06-02,¡º,56,71,36,50,3,20,0.73,83
2014-06-03,¡º,62,87,42,63,7,21,0.69,93
2014-06-04,¡º,85,124,61,101,13,35,0.82,98
2014-06-05,«·∂»Œ€»æ,122,170,84,136,18,45,0.95,116
2014-06-06,«·∂»Œ€»æ,121,147,76,123,20,44,0.86,116
2014-06-07,«·∂»Œ€»æ,129,173,89,149,17,43,1.00,119
2014-06-08,¡º,95,126,66,110,13,32,0.82,94
2014-06-09,¡º,74,115,45,79,14,25,0.66,75
2014-06-10,¡º,53,65,32,54,10,23,0.59,55
2014-06-11,¡º,77,110,53,87,17,33,0.63,81
2014-06-12,«·∂»Œ€»æ,113,152,84,145,27,51,0.92,103
2014-06-13,«·∂»Œ€»æ,119,136,71,120,18,41,0.79,121
2014-06-14,«·∂»Œ€»æ,138,153,96,165,22,50,0.91,148
2014-06-15,«·∂»Œ€»æ,135,150,84,143,26,47,0.86,102
2014-06-16,¡º,71,68,42,87,12,34,0.68,71
2014-06-17,¡º,60,67,42,58,4,41,1.24,39
2014-06-18,¡º,100,149,70,101,10,36,1.01,76
2014-06-19,¡º,91,143,54,98,19,41,0.79,89
2014-06-20,”≈,45,53,24,45,5,37,0.80,36
2014-06-21,”≈,40,35,25,34,3,35,0.75,36
2014-06-22,”≈,42,44,24,38,7,30,0.53,62
2014-06-23,¡º,63,79,43,71,12,42,0.63,49
2014-06-24,¡º,64,86,39,70,9,41,0.71,50
2014-06-25,¡º,57,84,37,62,7,42,0.63,48
2014-06-26,¡º,72,119,49,90,7,57,0.87,18
2014-06-27,¡º,60,96,42,55,8,55,0.95,26
2014-06-28,¡º,71,99,51,78,11,49,0.75,44
2014-06-29,¡º,71,105,49,82,9,46,0.80,41
2014-06-30,¡º,81,110,59,83,7,57,0.85,34
2014-07-01,¡º,95,123,70,106,9,54,1.26,48
2014-07-02,¡º,80,142,57,91,10,48,1.06,19
2014-07-03,¡º,66,77,44,67,8,35,0.90,73
2014-07-04,«·∂»Œ€»æ,129,178,96,130,10,39,1.09,70
2014-07-05,¡º,78,133,55,99,10,44,0.98,36
2014-07-06,”≈,47,43,29,45,6,28,0.92,59
2014-07-07,¡º,94,149,69,102,14,38,0.98,94
2014-07-08,¡º,79,111,56,83,9,27,0.65,103
2014-07-09,¡º,68,101,47,79,8,27,0.74,69
2014-07-10,«·∂»Œ€»æ,102,161,74,124,10,45,1.04,96
2014-07-11,¡º,99,118,73,111,6,36,1.02,83
2014-07-12,¡º,61,86,36,63,6,27,0.71,66
2014-07-13,”≈,34,21,21,26,4,30,0.81,55
2014-07-14,¡º,53,63,25,42,8,26,0.71,94
2014-07-15,”≈,39,39,18,27,6,38,0.66,50
2014-07-16,”≈,43,52,20,43,6,36,0.74,27
2014-07-17,¡º,60,82,28,63,7,33,0.65,67
2014-07-18,¡º,52,64,25,53,10,30,0.54,55
2014-07-19,¡º,57,78,29,61,9,32,0.51,62
